Histo2d 
sCurve-0
Vcal
Occupancy
Number of pixels
61 -2.5 302.5
49 0.5 49.5
0 161939
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 1 2 1 3 7 5 1 2 2 3 1 8 10 7 2 9 15 13 8 21 33 56 261 873 821 700 561 280 137 88 60 45 34 21 34 
0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 3 0 3 2 0 3 3 3 5 7 11 7 11 9 11 13 13 25 44 222 819 797 724 620 360 208 123 56 52 32 23 31 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 1 0 4 5 3 3 3 3 3 8 1 7 8 15 17 19 15 24 25 57 174 790 695 770 714 489 243 127 66 60 45 35 34 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 2 4 7 5 6 2 5 5 2 4 6 12 8 12 15 18 24 21 46 124 759 756 746 789 543 312 182 104 71 51 37 36 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 1 1 3 6 5 4 5 7 8 4 8 2 7 12 15 13 15 19 25 46 155 692 676 708 803 647 425 227 144 102 66 49 40 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 2 3 8 3 3 0 1 5 5 7 10 13 16 13 16 21 30 33 126 605 645 757 864 744 484 279 180 119 88 65 52 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 1 1 1 0 5 5 1 3 2 3 4 4 8 10 9 13 19 26 18 39 108 570 687 684 829 885 626 346 233 177 99 79 52 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 2 1 0 2 6 5 6 3 4 6 2 4 6 7 8 19 15 19 19 18 47 99 621 690 614 842 973 770 493 256 196 147 95 80 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 5 7 10 7 6 4 5 9 6 12 12 12 22 23 23 40 41 89 527 779 532 778 1013 1023 681 393 253 195 153 78 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 2 0 2 2 8 9 1 7 6 1 12 9 14 19 25 26 28 41 53 103 509 853 519 715 1054 1089 956 581 339 254 191 150 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 1 1 2 11 6 6 4 6 3 13 10 18 35 18 27 47 48 103 445 1069 586 580 975 1289 1171 930 562 343 256 207 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 2 2 4 5 14 12 5 8 5 9 11 7 21 24 28 39 41 47 76 406 1329 750 543 822 1261 1517 1313 953 623 402 343 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 2 2 2 1 5 6 10 14 17 14 8 13 10 15 23 34 38 39 50 58 119 347 1572 1201 536 705 1246 1723 1898 1673 1154 838 586 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 2 2 3 6 5 7 12 23 26 22 19 25 23 28 49 63 51 71 108 124 322 1876 2450 1247 753 998 1729 2408 2686 2626 2171 1662 
