Histo2d 
sCurve-0
Vcal
Occupancy
Number of pixels
31 47.5 202.5
49 0.5 49.5
0 83734
24 27 24 22 26 36 32 23 35 35 37 39 37 47 36 55 97 144 287 559 717 958 850 165 66 49 47 49 49 32 28 
31 27 27 26 26 21 25 26 29 40 32 29 29 47 39 39 78 108 226 484 721 934 902 217 72 56 51 48 40 39 39 
22 29 25 28 20 31 32 32 37 29 30 32 28 39 43 28 48 89 193 383 643 927 918 253 89 76 42 45 45 35 29 
20 20 26 26 23 22 25 28 25 33 37 21 33 28 36 43 60 76 156 360 639 863 1058 304 111 74 51 42 41 43 34 
24 22 23 27 14 22 25 15 28 29 29 32 24 35 27 29 50 55 107 297 530 862 1076 399 151 72 62 51 39 37 28 
24 13 17 23 26 35 22 27 27 23 24 27 32 28 37 35 36 57 92 233 489 821 1099 459 178 79 51 48 33 36 36 
20 21 19 16 20 22 21 20 30 31 31 27 33 28 24 49 36 57 67 167 407 707 1153 558 205 81 55 65 56 53 40 
12 21 19 12 19 24 32 21 19 21 23 19 30 28 27 30 34 44 59 140 357 679 1172 581 261 116 58 49 50 45 33 
15 18 13 26 16 30 12 17 23 18 28 23 25 22 23 34 37 23 53 106 284 614 1117 656 329 142 55 57 39 41 26 
9 12 16 17 18 21 15 18 21 27 26 30 21 19 21 35 22 36 39 78 221 517 1175 720 358 160 96 53 53 43 37 
14 19 15 9 14 14 21 18 20 18 19 27 14 23 27 24 22 29 41 67 171 449 1137 763 431 183 125 62 39 37 32 
15 10 8 18 16 13 13 17 16 21 17 19 20 18 16 31 21 26 42 43 143 403 1113 843 452 226 105 61 44 51 30 
15 10 7 10 16 8 15 20 11 16 13 16 13 15 22 21 26 31 28 42 108 288 1062 859 537 264 112 77 66 42 43 
10 9 12 11 13 11 13 14 13 13 13 14 20 18 15 10 21 24 30 47 81 245 878 941 622 341 162 66 54 38 47 
7 9 4 9 12 5 9 14 12 10 14 15 15 16 13 12 22 24 25 24 68 203 873 912 558 439 212 92 54 61 43 
9 8 12 4 12 5 5 11 9 9 10 12 9 14 11 13 25 20 25 31 45 142 777 987 678 474 221 111 69 46 28 
6 6 3 6 5 3 7 13 10 8 4 9 15 15 8 12 17 26 20 25 40 118 638 939 684 493 283 143 80 48 52 
5 3 6 4 5 3 8 5 1 6 16 8 10 6 13 8 10 16 21 27 28 86 582 965 730 607 303 163 93 58 53 
5 3 8 4 3 3 6 3 8 8 12 10 6 11 11 10 13 13 16 20 30 83 520 902 746 618 376 191 110 83 45 
2 2 5 1 2 0 2 3 6 4 4 7 11 15 15 12 7 17 19 23 25 48 433 928 734 667 510 254 144 88 80 
6 1 3 6 4 6 3 4 8 8 6 4 10 6 10 8 9 17 18 25 38 47 327 891 655 714 607 306 162 96 67 
2 3 3 6 4 1 0 3 5 6 6 9 9 10 11 13 11 6 17 31 29 48 218 936 632 721 620 398 196 120 86 
3 2 4 3 2 4 0 2 1 1 4 8 5 10 9 10 9 18 12 18 18 30 200 838 630 742 697 497 284 155 111 
3 1 4 4 1 1 6 3 1 0 4 7 6 6 18 10 11 10 15 23 28 42 166 846 639 789 802 596 350 185 116 
2 3 4 2 3 3 3 4 3 5 4 2 8 7 8 8 10 15 11 20 18 37 143 895 543 728 806 738 418 242 166 
1 3 1 4 2 4 2 2 4 4 11 6 9 8 17 14 16 18 17 20 30 39 111 868 555 612 838 817 553 340 213 
1 4 2 4 2 6 3 3 6 3 7 11 10 12 11 21 21 10 26 20 32 40 104 833 586 534 875 948 696 422 245 
2 3 3 9 3 6 0 3 7 7 8 8 7 10 8 18 22 23 13 18 40 30 81 763 699 460 769 930 915 608 349 
2 4 4 1 3 1 7 4 4 6 10 4 5 11 13 25 20 26 22 21 31 48 80 772 916 398 708 1059 1115 850 499 
4 6 5 1 4 6 4 3 7 4 8 9 13 6 8 13 21 21 20 33 39 39 79 659 1142 384 585 968 1248 1078 781 
3 3 5 7 0 3 11 6 2 7 5 4 7 9 18 13 22 19 22 25 28 52 80 611 1449 574 463 883 1315 1505 1174 
5 7 4 3 10 1 6 9 6 9 5 5 8 11 22 12 16 25 50 50 44 54 80 460 1975 971 458 714 1231 1692 1806 
5 3 3 5 3 8 6 4 6 2 4 10 7 14 9 17 27 31 44 51 77 85 111 381 2523 2339 930 624 984 1698 2398 
